krs,name,hasc_2,bundesland,centr_lon,centr_lat,x_epsg5243,y_epsg5243,total_area_epsg5243
01001,Flensburg,DE.SH.FE,Schleswig-Holstein,9.43852836776118,54.7849933982176,-68362.14718328179,421570.4543089994,49326264.06890933
01002,Kiel,DE.SH.KE,Schleswig-Holstein,10.13224434904341,54.324840654108314,-23941.631358656297,369869.3553667455,111862292.7853527
01003,Lübeck,DE.SH.LB,Schleswig-Holstein,10.727283131172603,53.87231671373528,14941.741692592228,319446.6549137599,211537873.33479455
01004,Neumünster,DE.SH.NU,Schleswig-Holstein,9.984481926142708,54.081124417898025,-33751.31889225926,342788.9963609519,71494791.40263332
01051,Dithmarschen,DE.SH.DT,Schleswig-Holstein,9.107814546021107,54.13291097631734,-91040.47778555335,349274.56236156385,1423431580.026863
01053,Herzogtum Lauenburg,DE.SH.HL,Schleswig-Holstein,10.60185922402123,53.589002383998036,6725.873706523473,287879.9074635005,1262794007.5508673
01054,Nordfriesland,DE.SH.NR,Schleswig-Holstein,8.88688771029886,54.609564102387175,-104276.51427914771,402616.9787111719,2176461243.1208677
01055,Ostholstein,DE.SH.OT,Schleswig-Holstein,10.81942700861584,54.18964898216341,20786.891827692158,354760.44414537016,1390193374.6280978
01056,Pinneberg,DE.SH.PN,Schleswig-Holstein,9.7368667678125,53.71808404766767,-50374.30187690193,302513.76858124434,637853836.2549964
01057,Plön,DE.SH.PO,Schleswig-Holstein,10.363695164237653,54.24338860838764,-8906.643439817999,360740.0338690987,1084283012.6353674
01058,Rendsburg-Eckernförde,DE.SH.RE,Schleswig-Holstein,9.781742063931185,54.28961572422334,-46825.03191042644,366084.9420615773,2171779906.7420626
01059,Schleswig-Flensburg,DE.SH.SF,Schleswig-Holstein,9.488709228923526,54.619019578049105,-65391.037507496716,403004.6407236849,1920780280.6775575
01060,Segeberg,DE.SH.SG,Schleswig-Holstein,10.140914779083362,53.919985786399415,-23619.220557506138,324786.3522194905,1346662207.3513584
01061,Steinburg,DE.SH.SE,Schleswig-Holstein,9.519381863841419,53.92894521036705,-64429.398113834926,326149.57313420693,1018553041.6924077
01062,Stormarn,DE.SH.SO,Schleswig-Holstein,10.331639875821317,53.7208005950511,-11131.204529278888,302555.2192886618,766079680.4968216
02000,Hamburg,DE.HH.HM,Hamburg,10.020794357398568,53.54637733282455,-31752.073467259284,283247.1498593457,736247665.3992451
03101,Braunschweig,DE.NI.BA,Niedersachsen,10.524107955126047,52.27522113713051,1643.1953417265986,141751.82980391494,191961556.98744577
03102,Salzgitter,DE.NI.SL,Niedersachsen,10.370726172444353,52.12447437559664,-8847.08434053725,124997.33676086456,224568280.00301403
03103,Wolfsburg,DE.NI.WL,Niedersachsen,10.784870726984474,52.41074738323744,19371.407264484416,156859.2378724026,204687442.78883475
03151,Gifhorn,DE.NI.GF,Niedersachsen,10.604170442991286,52.58025627005769,7050.220179736191,175657.09307054325,1567295095.966711
03152,Göttingen,DE.NI.GT,Niedersachsen,9.926235138400214,51.498939016029475,-39828.1780582012,55617.681686469776,1116569179.0075693
03153,Goslar,DE.NI.GS,Niedersachsen,10.400392672832075,51.874677141884675,-6839.360653514344,97218.91138230263,967322031.0568058
03154,Helmstedt,DE.NI.HL,Niedersachsen,10.888838726856418,52.260744265707224,26533.413444628182,140196.9041868634,674586699.9666547
03155,Northeim,DE.NI.NR,Niedersachsen,9.848008922356366,51.74258731222823,-45004.116171540656,82737.53303256335,1267502957.6498134
03156,Osterode am Harz,DE.NI.OH,Niedersachsen,10.371446678583235,51.67796464762395,-8870.226080847975,75362.65265091996,634999268.5271739
