"krs","raumeinheit","aggregat","apotheken_2017","krankenhausbetten_2016","pflegebedürftige_2017","ambulante_pflege_2017","stationäre_pflege_2017","empfänger_von_pflegegeld_2017","personal_in_pflegeheimen_2017","personal_in_pflegediensten_2017","pflegeheimplätze_2017","betreuungsquote_kleinkinder_2017","siedlungsdichte_2017","freifläche_je_einwohner_2017","waldfläche_je_einwohner_2017","wasserfläche_je_einwohner_2017","einwohnerdichte_2017","einpendler_2017","auspendler_2017","pendler_mit_arbeitsweg_50_km_und_mehr_2017","pendler_mit_arbeitsweg_150_km_und_mehr_2017","pendler_mit_arbeitsweg_300_km_und_mehr_2017","erreichbarkeit_von_autobahnen_2018","erreichbarkeit_von_flughäfen_2018","erreichbarkeit_von_ic_ec_ice_bahnhöfen_2018","erreichbarkeit_von_oberzentren_2018","erreichbarkeit_von_mittelzentren_2018","nahversorgung_supermärkte_durchschnittsdistanz_2017","nahversorgung_supermärkte_anteil_der_bev__1km_radius_2017","nahversorgung_apotheken_durchschnittsdistanz_2017","nahversorgung_apotheken_anteil_der_bev__1km_radius_2017","nahversorgung_grundschulen_durchschnittsdistanz_2017","nahversorgung_grundschulen_anteil_der_bev__1km_radius_2017","nahversorgung_haltestellen_des_öv_durchschnittsdistanz_2017","nahversorgung_haltestellen_des_öv_anteil_der_bev__1km_radius_2017","pkw_dichte_2017"
9478,"Lichtenfels","Landkreis",28.5,11.15,423,24.7,30.2,44.2,123.2,40.7,155,31.8,"1.107,40",69.4,"2.998,00","118,6","128",71,71.3,8,3.3,1.8,7,62,9,19,1,"1.659",51,"1.811",48,"1.605",49,"1.245",59,"641"
9479,"Wunsiedel i.Fichtelgebirge","Landkreis",31.3,5.57,495.7,30.7,27.1,40.7,109,54,144.7,31.3,"1.069,50",73.7,"3.811,00","113,8","121",64.2,62.7,8.6,4,1.9,9,96,73,7,7,"1.084",66,"1.490",54,"1.323",49,"579",85,"617"
9561,"Ansbach, Stadt","krsfr. Stadt",38.4,29.59,376,24,40.2,35.2,123.6,96.3,172.9,21.7,"1.803,10",18.8,"699,6","13","417",64.2,42.2,13.7,4.5,1.5,6,52,0,0,0,"872",78,"1.072",70,"844",81,"229",97,"582"
9562,"Erlangen, Stadt","krsfr. Stadt",35.1,19.81,265,24.9,35.7,38.7,79.6,49.3,102.3,40.7,"3.476,30",4.3,"154,8","24,3","1.442",68.8,39.2,7.4,5.4,1.9,1,17,0,0,0,"514",90,"451",94,"615",90,"186",100,"484"
9563,"Fürth, Stadt","krsfr. Stadt",24.5,6.87,260.2,15.5,37.3,45.9,76.7,18.4,103.9,24.1,"4.253,00",3,"64,9","10,7","1.997",66.3,70.8,7.6,5.5,2,5,16,13,0,0,"475",92,"497",89,"618",83,"177",100,"478"
9564,"Nürnberg, Stadt","krsfr. Stadt",28,6.9,287.5,23.1,34.9,40.7,83.7,48.3,110.9,28,"4.457,90",1.7,"60,5","6,7","2.763",52.8,31.8,9.1,6.4,2.3,5,12,0,0,0,"375",96,"395",95,"571",89,"215",100,"463"
9565,"Schwabach, Stadt","krsfr. Stadt",34.3,4.18,293.3,17.1,37,45.4,100.8,30.9,116.2,26.1,"2.859,80",6.8,"287,6","7,4","1.000",66.7,67.4,7.8,5.1,1.8,3,29,19,0,0,"682",85,"687",78,"1.021",51,"272",96,"611"
9571,"Ansbach","Landkreis",26.2,0.82,326.5,24.9,25.7,47.9,87.5,37.9,97.5,30,"885,3",96.9,"3.076,80","95,7","93",66.9,74.5,9.4,4,1.2,10,61,20,22,9,"1.744",51,"2.434",45,"1.697",53,"1.497",61,"644"
9572,"Erlangen-Höchstadt","Landkreis",22.9,0.85,255.8,17.2,30.5,51.6,60.3,16.7,89.8,38.1,"1.725,30",36.4,"1.755,10","152,6","240",77.4,80.2,6.5,4.5,1.6,6,24,17,17,8,"1.062",64,"1.281",62,"1.147",60,"546",90,"646"
9573,"Fürth","Landkreis",21.5,0,332.1,28.7,30.8,39.7,91.2,51.6,110.9,30.9,"2.157,70",22.2,"679,8","23,4","378",74.1,87.1,7,4.9,1.7,14,28,21,14,8,"1.127",60,"1.203",60,"1.314",52,"493",90,"633"
9574,"Nürnberger Land","Landkreis",24.7,5.75,302.9,26.5,30,42.9,80.9,40.1,104.6,32.9,"1.585,30",41.3,"2.448,00","34,9","212",74.7,80.7,7.9,4.7,1.8,7,29,28,25,8,"1.293",59,"1.604",53,"1.353",53,"553",90,"621"
9575,"Neustadt a.d.Aisch-Bad Windsheim","Landkreis",28.1,4.81,332.7,20,29.5,49.4,98,38.4,108.2,30.3,"795,9",115.3,"3.728,10","91,6","79",69.5,76.4,10.7,3.7,1.2,15,53,32,31,9,"1.708",54,"2.417",45,"2.166",46,"2.371",44,"636"
9576,"Roth","Landkreis",21.4,2.15,294,24.4,25.2,49.4,81.4,56.5,82.1,26.5,"1.172,80",62.9,"3.192,10","96,7","141",66.7,76.2,9.9,4.7,1.9,8,39,27,20,7,"1.556",54,"1.864",50,"1.488",51,"1.068",74,"653"
9577,"Weißenburg-Gunzenhausen","Landkreis",25.5,4.47,341.8,27.1,28.7,43.6,91.2,51.1,106.6,25.4,"917",92.9,"3.554,50","208,8","97",64.2,69.6,14.7,3.2,1.5,30,64,37,32,7,"1.873",52,"2.587",40,"2.113",39,"1.623",63,"629"
9661,"Aschaffenburg, Stadt","krsfr. Stadt",27.2,13.51,387.3,29.2,22.7,47.2,89.2,51.9,100.2,27.2,"2.824,20",6.1,"281,9","23,2","1.120",70.1,51.8,9.1,4,2.2,3,31,0,0,0,"519",92,"639",80,"531",92,"163",100,"618"
9662,"Schweinfurt, Stadt","krsfr. Stadt",44.9,17.45,458.5,23.5,34,41,140,51.5,164.7,24.6,"2.696,10",3.5,"110,4","26,8","1.497",76.1,36,8,4,2.2,3,74,29,0,0,"371",96,"382",99,"617",85,"153",100,"509"
9663,"Würzburg, Stadt","krsfr. Stadt",35.5,18.37,377.2,26.8,34.7,36.9,119.3,38.2,153.8,33,"3.010,10",4.1,"135,4","9","1.446",63.7,35.9,13,6.7,3.1,5,67,0,0,0,"466",93,"461",91,"649",86,"191",100,"493"
9671,"Aschaffenburg","Landkreis",23,0.24,342.7,22.2,19.4,57.4,64.4,28.3,71.5,27.3,"1.735,40",34.9,"2.289,70","37,2","249",77.6,83.7,10.9,4,2,6,39,15,15,8,"1.176",61,"1.251",62,"1.078",61,"323",96,"647"
9672,"Bad Kissingen","Landkreis",26.1,8.36,451.7,26,29.2,43.1,120.2,58.2,149.9,29.3,"852",99.1,"5.322,10","47,4","91",68.1,73.4,11.1,4.4,2.3,8,84,36,17,8,"1.681",51,"2.494",39,"2.088",37,"1.446",59,"651"
9673,"Rhön-Grabfeld","Landkreis",27.6,13.84,430.2,32.2,25.3,41.9,108.8,54.8,132.1,33.1,"791,5",116.2,"4.822,30","46,2","78",75.2,76.6,10.6,3.8,1.7,13,75,49,17,9,"1.544",54,"2.552",42,"1.767",48,"3.255",36,"652"
9674,"Haßberge","Landkreis",28.4,2.84,365.2,24.6,19.1,55.3,76.5,47.4,75.3,31.8,"859,2",102.4,"4.664,10","131,9","88",71.9,78.5,8.9,3.1,1.4,13,66,29,23,9,"1.946",45,"2.587",39,"2.402",35,"1.357",63,"661"
9675,"Kitzingen","Landkreis",28.8,2.73,358.1,24.4,27.7,47,93.8,28.6,112.5,32.9,"951,8",66.1,"1.737,70","107","132",71.6,75.9,9,4,1.4,6,57,22,22,8,"1.600",53,"2.019",44,"1.762",47,"1.177",68,"643"
9676,"Miltenberg","Landkreis",23.3,2.27,388.1,21.7,19.7,57.8,94.2,34.2,89.9,31.8,"1.572,10",50,"3.288,40","66,3","180",79.4,83.4,10.7,3,1.7,25,55,32,32,8,"1.406",55,"1.505",60,"1.255",60,"488",92,"631"
9677,"Main-Spessart","Landkreis",23.7,5.24,431,26.5,22.6,49.9,91.8,63.7,113.2,33.4,"1.017,10",95.2,"5.827,40","112,9","96",69.8,74.1,9.2,3.7,1.9,17,67,32,31,8,"1.798",52,"2.681",36,"1.695",50,"784",82,"649"
9678,"Schweinfurt","Landkreis",21.7,5.21,306.6,18.1,29,52,80.4,20,97.1,32.7,"1.084,40",64.6,"1.920,30","65,2","137",78.5,88.5,8.1,3.7,1.9,7,74,32,14,9,"1.647",55,"2.234",46,"2.049",48,"1.335",65,"654"
9679,"Würzburg","Landkreis",24.2,0.87,296,27.9,18.3,53,47.7,32.1,62.7,39.9,"1.349,20",53.1,"1.390,30","31,4","167",80.3,88.4,9.9,4.9,2.4,9,72,17,17,11,"1.153",65,"1.628",58,"1.571",59,"481",91,"632"
9761,"Augsburg, Stadt","krsfr. Stadt",28,10.1,331.2,29.7,28.5,41,85.7,60.2,104.2,23.7,"4.555,20",3.2,"129","14","1.994",51.8,41.1,18.2,4.1,2.5,10,56,1,0,0,"440",95,"443",95,"546",93,"207",100,"451"
9762,"Kaufbeuren, Stadt","krsfr. Stadt",32.2,14.47,347.5,24.3,34.7,40.7,121,45.5,125.6,14.3,"2.832,40",5.9,"229,8","19,6","1.086",51.5,49.1,12.6,2.8,1.8,14,71,16,0,0,"424",96,"628",83,"647",86,"217",99,"535"
9763,"Kempten (Allgäu), Stadt","krsfr. Stadt",27.8,8.89,279.8,21.7,31.5,45.3,88.5,58.8,101.4,21.4,"3.270,90",6.6,"120,3","17,9","1.080",59.1,43.9,8.8,3.3,1.8,3,76,2,0,0,"459",93,"680",86,"642",83,"156",99,"545"
9764,"Memmingen, Stadt","krsfr. Stadt",43.7,12.57,342.1,31,26.9,41.6,100.1,83.7,107.4,16.2,"2.388,50",12.2,"397,7","10,8","620",63.6,38.2,9.6,3.3,1.7,2,59,2,0,0,"582",86,"692",85,"777",81,"238",99,"571"
9771,"Aichach-Friedberg","Landkreis",19.6,2.13,241.3,18.9,25,55.4,53.2,16.4,66.4,19.1,"1.405,80",52.1,"1.503,60","62","170",70.4,80.8,20,3.3,2.1,14,53,25,25,8,"1.646",57,"2.207",46,"1.428",50,"994",77,"618"
9772,"Augsburg","Landkreis",22.4,1.2,290.3,24.1,24.6,50.7,74.2,33,80.8,21.8,"1.503,00",36.6,"1.432,60","40,8","233",77.7,84,12.6,3.4,2,13,67,21,23,6,"1.096",67,"1.404",60,"1.189",65,"807",80,"624"
9773,"Dillingen a.d.Donau","Landkreis",21,3.35,314.6,15.2,31.1,52.3,91.8,21.2,119.9,21.3,"1.011,50",73.8,"1.964,60","233,8","120",68.4,74.3,8.9,2,1,23,80,22,11,8,"1.611",54,"2.105",39,"1.757",41,"1.014",71,"641"
9774,"Günzburg","Landkreis",22.5,8.47,282,18.9,27.7,52.6,79.1,23.3,87.5,19.9,"1.143,00",53,"1.799,60","120","163",73.2,74.6,9.2,2.5,1.3,10,71,18,17,5,"1.367",59,"1.941",48,"1.423",54,"913",75,"634"
9775,"Neu-Ulm","Landkreis",21.4,2.4,262.2,19,28.3,51.9,67.3,24.6,85.9,21.7,"1.830,50",24.8,"888,5","68,3","334",73.6,76.9,9.1,3.7,1.6,6,65,17,15,4,"1.039",72,"1.224",65,"921",73,"334",96,"601"
9776,"Lindau (Bodensee)","Landkreis",27.1,7.49,319.4,31.8,32.9,34.4,115.1,37,132.8,23,"1.826,00",34.9,"1.109,70","35,2","251",65.1,65,8.6,5.6,1.9,14,39,16,15,7,"1.056",63,"1.599",56,"1.055",62,"607",82,"614"
9777,"Ostallgäu","Landkreis",21.5,3.7,262.9,27.1,26.2,46.5,69,30.6,77.2,16.7,"1.203,20",92.3,"3.136,10","264,4","100",65.9,71.6,11.6,2.9,1.8,12,82,22,19,9,"1.418",59,"2.509",41,"1.761",48,"748",82,"618"
9778,"Unterallgäu","Landkreis",18.9,3.04,280.6,21.4,30.7,46.5,88.6,24.4,96,17.1,"1.048,30",77.2,"2.219,10","96,7","116",73.3,78,10.6,2.7,1.5,8,70,15,19,10,"1.369",58,"2.643",42,"1.683",49,"1.252",68,"644"
9779,"Donau-Ries","Landkreis",25.6,4,266.4,22.7,24.9,51,72.2,43.6,76.2,23.5,"933",85.7,"2.549,40","138,2","104",72.3,70.5,10.2,2.4,0.9,35,86,24,13,10,"1.765",51,"2.439",41,"1.627",52,"1.469",65,"653"
9780,"Oberallgäu","Landkreis",23.9,2.89,242.8,24.4,27.6,47.3,71.1,23.6,84.4,18,"1.491,80",92.6,"3.682,70","160,6","101",67.1,72.5,8.2,3.9,1.9,16,72,10,11,9,"1.192",64,"2.065",46,"1.447",54,"655",83,"618"
10041,"Regionalverband Saarbrücken","Landkreis",33.6,7.87,428.6,23.6,26.5,49.2,108.8,41.9,127.9,26.1,"2.490,80",8.8,"512,9","10,4","803",67.5,57.5,7.3,5.2,2.4,2,16,7,7,4,"734",76,"682",80,"900",73,"208",100,"565"
10042,"Merzig-Wadern","Landkreis",29.9,4.63,469,18.1,30.5,50.4,121.9,30.8,157.2,32.4,"1.332,70",46.7,"2.078,20","64,7","186",65.1,68.9,7.2,3.8,1.5,7,42,36,37,6,"1.733",42,"1.755",42,"1.729",45,"439",93,"661"
10043,"Neunkirchen","Landkreis",35.3,5.22,483.2,19.5,26.8,52.8,128.4,38,142.1,23.4,"2.007,50",14.1,"548,8","14,4","534",71,76.8,6.4,3.8,1.8,5,26,17,20,5,"799",76,"845",71,"993",67,"244",99,"631"
10044,"Saarlouis","Landkreis",36.8,5.09,481.3,22.6,18.9,57.4,88.6,39.1,97.5,25.4,"1.753,70",18.1,"591,9","34,1","426",78.3,78.9,6,3.7,1.5,5,33,23,24,5,"1.083",66,"956",69,"1.128",60,"286",99,"657"
10045,"Saarpfalz-Kreis","Landkreis",37,10.18,434.8,18.8,23.5,56.6,88.8,33.5,116.5,30.9,"1.705,90",23.7,"958,6","17,2","343",73.2,67.7,7.5,4,1.9,6,13,11,21,4,"1.177",58,"1.180",60,"1.243",53,"223",100,"665"
10046,"St. Wendel","Landkreis",37.6,2.8,509,24.6,20.3,53.6,126.8,46.5,116.3,34.9,"1.148,70",46.3,"1.810,00","51,8","185",68.5,74.9,9,3,1.2,6,42,31,34,7,"1.342",49,"1.413",53,"2.056",33,"311",98,"678"
11000,"Berlin, Stadt","krsfr. Stadt",23.6,5.63,375.5,25.5,21.3,53,62.3,61.7,91.1,43.8,"5.752,30",1.1,"45,6","16,3","4.055",21.7,13.9,7.9,7.1,5.9,7,15,0,0,0,"334",98,"403",94,"478",94,"211",100,"331"
12051,"Brandenburg an der Havel, Stadt","krsfr. Stadt",22.3,12.57,473.8,36.3,20.5,42.5,82.1,124.5,99.7,57.5,"1.410,40",26,"919,2","543,8","313",40.5,35.4,15.8,4.8,2.7,13,56,0,0,0,"659",83,"979",75,"1.098",66,"247",99,"470"
12052,"Cottbus, Stadt","krsfr. Stadt",30.7,11.62,426.7,35.5,25.7,38.2,93.8,54,113.8,52.2,"2.019,50",12.4,"354,3","55,3","610",48,35.4,16.1,7.2,4.3,9,66,0,0,0,"640",85,"836",76,"820",79,"223",100,"477"
12053,"Frankfurt (Oder), Stadt","krsfr. Stadt",24,16.2,505.5,24,27.3,47.9,128.3,63.5,142.9,60.5,"1.645,10",20.7,"685,8","91,2","394",47.7,31.8,17.6,4.9,3.4,5,49,0,0,0,"611",88,"845",82,"905",81,"218",99,"480"
12054,"Potsdam, Stadt","krsfr. Stadt",22.2,9.15,373.6,28.5,23.1,47.6,61.6,37.3,95.4,54.1,"3.068,10",8.1,"271","117,1","933",58.8,49.1,8.4,6.1,4.3,10,28,0,0,0,"540",89,"859",79,"570",89,"229",100,"409"
12060,"Barnim","Landkreis",19.9,6.52,662.6,25.3,18.3,56.1,96.5,68.8,133.4,56.4,"1.106,60",73.5,"3.746,70","395,5","122",65.2,76.3,14.1,5.2,3.9,11,53,19,50,14,"1.262",66,"1.889",50,"1.638",49,"458",92,"553"
12061,"Dahme-Spreewald","Landkreis",22.1,6.04,455.6,28.9,17.7,53.2,65.2,55.4,86.3,55.3,"771,4",124,"6.155,90","532,2","74",79,80.8,15.5,6.1,4.7,15,38,23,41,17,"1.658",59,"2.611",42,"1.970",42,"604",86,"584"
12062,"Elbe-Elster","Landkreis",27.1,4.45,596.7,41.3,14.7,43.7,66.7,122.4,91.6,55.6,"677,7",170.3,"6.598,50","304,1","54",64.9,71,18.2,5.4,3.7,34,61,40,66,10,"1.792",56,"2.545",46,"2.232",42,"536",89,"609"
12063,"Havelland","Landkreis",19.3,3.02,428.9,31,17.2,51.5,61.2,61.4,78.7,54,"905,2",97.2,"2.731,80","333,6","93",67.1,77.6,13.5,5.4,3.7,26,60,32,36,13,"1.506",64,"2.041",51,"1.790",48,"472",93,"553"
12064,"Märkisch-Oderland","Landkreis",22.8,3.47,571.5,24.7,16.6,58.3,79.6,60,101.5,58.1,"797,2",101.4,"2.678,70","298,9","89",74.4,82.9,14.4,5.1,3.8,29,60,32,45,13,"1.611",61,"2.110",48,"1.739",48,"699",85,"578"
12065,"Oberhavel","Landkreis",22.9,5.24,513.3,25.1,17.3,57.3,69.7,58.3,92,54.1,"1.121,30",77.9,"3.487,40","318,3","116",67.4,78.2,12.7,5.2,4,24,43,35,47,10,"1.265",68,"1.751",56,"1.392",59,"542",88,"554"
12066,"Oberspreewald-Lausitz","Landkreis",26.1,4.58,514.6,27.4,21.6,50.4,98.8,59.8,114.9,56.7,"777,4",98.7,"4.177,40","395,4","91",67.5,68.5,17.6,6.6,3.9,8,41,26,33,7,"1.272",69,"1.652",56,"1.620",56,"571",89,"586"
12067,"Oder-Spree","Landkreis",23.5,7.59,600.5,24.8,15.4,59.5,79.8,69.5,99.6,55.2,"812,7",115.9,"6.102,40","472,6","79",64.6,71,17.2,4.7,3.3,16,45,33,33,11,"1.740",59,"2.411",51,"1.971",47,"756",81,"584"
12068,"Ostprignitz-Ruppin","Landkreis",23.1,11.52,718.5,31.6,14.2,54,92.4,110.4,109.4,56.6,"615,7",239.3,"8.287,50","824,3","39",53.6,57.4,19.7,5.5,3,16,60,51,64,10,"2.604",54,"3.646",43,"2.620",47,"1.136",73,"570"
12069,"Potsdam-Mittelmark","Landkreis",20.2,3.39,381.5,27.2,21.5,50.6,62.2,55.3,92.3,56.9,"915,4",111.5,"4.955,60","333","82",74.3,81.6,14.8,6,4.2,10,50,27,27,13,"1.599",62,"2.245",43,"1.849",49,"553",90,"575"
12070,"Prignitz","Landkreis",31.1,4.99,809.8,32.6,16,51,110.3,98.9,136.4,53.3,"516,7",258.6,"6.324,50","531,2","36",58.5,61.7,17.6,9.1,2.9,18,90,29,65,13,"2.229",59,"3.241",52,"2.543",46,"961",76,"578"
12071,"Spree-Neiße","Landkreis",22.5,4.48,457.8,30.7,20.4,48.4,84.1,62.2,96.6,61.8,"712,7",130.5,"6.488,20","414,8","70",61.9,68.6,14.4,6.7,3.8,18,74,25,24,13,"1.900",53,"2.696",41,"2.049",41,"1.190",69,"609"
12072,"Teltow-Fläming","Landkreis",22.2,2.97,459,27.8,21.6,50.3,81,59.7,106.2,47,"797,5",115,"5.210,70","207,9","79",71.6,75,13.5,4.7,3.6,22,42,38,50,11,"1.567",62,"2.199",48,"1.836",51,"663",86,"585"
12073,"Uckermark","Landkreis",21.6,5.76,816.2,33.1,11.1,55.6,83,136.5,93.1,58.2,"596,6",240.8,"6.253,60","1.213,60","39",50.2,54.4,20.2,6.1,4.4,19,71,19,62,14,"2.034",60,"3.418",50,"2.351",58,"872",77,"560"
13003,"Rostock, Stadt","krsfr. Stadt",25.4,7.3,447.8,0,25.2,51.9,79.4,54.7,115.2,59.5,"2.800,10",6,"236,7","71,7","1.149",37.7,29.3,13.5,8.8,4.3,6,70,0,0,0,"387",95,"591",88,"677",87,"231",100,"396"
13004,"Schwerin, Stadt","krsfr. Stadt",29.2,15.17,554.6,0,27,46.4,115.5,63.4,151.6,51.6,"2.352,00",10.4,"260,9","388,9","734",51.4,30,15.8,5.4,2.5,12,51,0,0,0,"450",92,"620",80,"750",78,"217",100,"448"
13071,"Mecklenburgische Seenplatte","Landkreis",28.4,6.27,584.8,30,19.4,50.4,102.6,82.7,119.5,55.6,"694,5",199.1,"5.192,50","1.918,00","47",56.2,57.5,15.7,7.1,3.4,22,102,25,36,17,"2.002",64,"2.902",54,"2.196",55,"1.434",72,"543"
13072,"Landkreis Rostock","Landkreis",24.2,3.66,559.7,28.4,21.2,50.3,97.1,61.4,124.3,56,"701,8",148.6,"2.713,50","574","63",71,76,14.7,7.6,3.3,12,78,24,31,17,"2.173",51,"2.817",45,"2.249",44,"1.226",71,"564"
13073,"Vorpommern-Rügen","Landkreis",29.3,5.05,697.4,29.7,16.7,53.3,91.2,78.4,120.1,54.7,"806,9",133,"2.639,30","593,7","70",57.4,62.1,15.4,8.4,4.7,29,119,24,29,17,"1.535",68,"2.352",57,"2.089",53,"967",77,"528"
13074,"Nordwestmecklenburg","Landkreis",22.9,3.78,511.9,24.4,22,53.2,96.8,40.6,117.3,56.5,"830,2",126.3,"1.846,20","606,4","74",63.8,71.3,15.2,4.6,2.2,11,34,23,29,16,"1.786",57,"2.839",49,"1.973",49,"993",74,"553"
13075,"Vorpommern-Greifswald","Landkreis",26.6,9.34,597.3,35.1,20.6,44,101.6,100.2,134.8,55.8,"753,4",155.3,"3.772,20","1.043,50","60",58.8,59.7,14.4,8.4,4.9,22,94,19,41,14,"1.629",67,"2.419",55,"2.107",52,"1.238",73,"517"
13076,"Ludwigslust-Parchim","Landkreis",22.6,4.49,528.6,29.1,21.2,49.4,97,56.6,116.3,55,"591,9",210.6,"6.363,00","844,3","45",67.8,75.2,22.4,6.9,2.7,16,75,27,42,20,"2.504",51,"3.477",41,"2.670",41,"1.220",70,"587"
14511,"Chemnitz, Stadt","krsfr. Stadt",28.8,9.43,517.5,28.9,25.4,45.1,107.4,60.5,139.2,44.4,"2.492,00",5.8,"142,7","9,2","1.117",45.2,30.4,11,5.3,3.4,6,52,55,0,0,"542",87,"608",85,"621",85,"217",100,"502"
14521,"Erzgebirgskreis","Landkreis",29.7,6.01,593.7,34,21.8,43.8,118.9,83.8,136.6,47.5,"1.548,70",47.8,"2.404,50","59,8","186",66.9,71.6,7.6,3.8,2.3,27,76,79,34,9,"1.004",70,"1.348",58,"1.270",56,"406",93,"591"
14522,"Mittelsachsen","Landkreis",26.6,4.33,502.9,29.4,24.8,45,114.2,68.1,132.3,51.4,"1.331,50",61.8,"1.091,80","78,6","146",67.1,70.3,10.8,4.4,3.1,15,45,43,34,13,"1.406",59,"1.871",50,"1.492",50,"500",86,"581"
14523,"Vogtlandkreis","Landkreis",27,7.44,454,32.9,31.4,35.4,114.5,72.4,147.3,46.8,"1.418,80",55.1,"2.406,30","74,9","163",60.7,64.7,10.9,5.4,3,13,93,78,19,8,"1.189",67,"1.524",58,"1.332",60,"576",87,"590"
14524,"Zwickau","Landkreis",32.8,6.23,527.4,31.4,26.4,41.5,109.2,78.3,146.1,51.1,"1.869,90",24.8,"499,8","31,4","337",64.4,65.2,8.5,3.9,2.5,8,67,56,15,4,"876",71,"1.184",63,"1.136",59,"372",93,"573"
14612,"Dresden, Stadt","krsfr. Stadt",21.8,6.98,400.1,23.3,25.6,50.4,80.6,44.5,108,53.4,"4.008,70",3.8,"133,8","12,4","1.678",36.3,25.1,10.7,6.2,4,9,13,2,0,0,"439",93,"572",87,"579",90,"209",100,"404"
14625,"Bautzen","Landkreis",20.5,5.65,589.9,27,20.1,51.2,109.8,68.6,121.8,53.9,"1.190,80",71.5,"2.770,80","329,6","126",70.2,72.3,11.6,5.1,3.1,15,37,39,16,11,"1.295",60,"2.217",46,"1.467",50,"395",93,"588"
14626,"Görlitz","Landkreis",24.6,7.04,676,32,20.6,46.8,124.3,100.3,142.9,49.9,"978,5",73.6,"2.975,60","273,6","122",61,64.4,14.4,6.7,4.4,21,64,58,28,10,"1.181",65,"1.831",54,"1.582",55,"525",88,"554"
14627,"Meißen","Landkreis",21.8,4.94,556.6,30.8,19,49.7,91.2,65.3,110.4,53.7,"1.399,30",53.4,"815,5","132,9","167",69.1,71.2,10.1,4.6,3.1,14,27,18,36,9,"1.277",66,"2.083",52,"1.506",53,"362",94,"555"
14628,"Sächsische Schweiz-Osterzgebirge","Landkreis",20,5.23,540,27.7,25.4,46.2,109.4,54.7,140.4,50.9,"1.552,30",61.5,"2.409,10","72,2","148",66,72.6,7.4,4.4,2.9,15,36,21,32,14,"1.305",58,"1.974",48,"1.521",49,"375",93,"569"
14713,"Leipzig, Stadt","krsfr. Stadt",24.6,7.05,390.9,29.7,27.4,42.4,78.5,59.8,115,46.3,"3.621,30",3,"38","20,1","1.954",37.1,27.2,12.8,7.5,4.8,11,19,0,0,0,"376",96,"469",93,"555",90,"221",100,"378"
14729,"Leipzig","Landkreis",25.2,4.4,470.5,29.5,25.2,45.1,92.4,58.4,121.5,55.7,"1.165,10",56.8,"933,7","285,1","156",70.2,77.9,11.6,5.6,3.7,9,37,29,29,9,"1.349",61,"1.789",52,"1.363",54,"422",92,"579"
14730,"Nordsachsen","Landkreis",27.8,7.22,511.4,26.8,24.6,48.1,109.7,58.1,126.3,55.8,"937,6",92.8,"2.112,20","264,8","98",67.6,71.1,14.8,6.1,4.2,26,43,26,44,10,"1.361",62,"2.206",51,"1.524",55,"486",89,"569"
15001,"Dessau-Roßlau, Stadt","krsfr. Stadt",32.9,11.42,497.4,29,31.4,38.7,115.7,63.8,163.4,50.3,"1.625,00",25.7,"1.196,80","96,3","335",39.8,33.8,16.7,6.3,4.2,5,37,22,0,0,"607",87,"746",78,"857",76,"229",100,"511"
15002,"Halle (Saale), Stadt","krsfr. Stadt",32.2,12.43,473.8,32.7,24.8,41.7,82.2,66.2,122,50.9,"3.352,10",3.5,"102,5","20,5","1.771",42.1,35.2,11.7,6.7,3.9,5,21,0,0,0,"392",96,"438",93,"533",92,"212",100,"388"
15003,"Magdeburg, Stadt","krsfr. Stadt",25.2,9.85,384.3,22,34.1,42.8,93.3,38.5,141.1,52.4,"2.586,20",5.6,"76,1","58,7","1.186",41.8,30.6,14.4,7.4,3.1,7,71,0,0,0,"426",95,"571",89,"636",88,"242",99,"457"
15081,"Altmarkkreis Salzwedel","Landkreis",27.2,5.04,426.3,23.2,27.7,48.6,105.5,30.3,129.5,56,"517,4",256.2,"8.085,50","357,6","37",46.4,59.6,23.3,5.7,2.4,44,112,40,54,22,"2.335",53,"3.738",41,"2.452",45,"457",90,"595"
15082,"Anhalt-Bitterfeld","Landkreis",29.8,5.33,535.4,31.4,21.3,46.6,94.4,72.2,122.8,57.5,"902,7",82.2,"1.994,20","319,2","111",56.7,63.2,12.2,6.4,3.9,18,43,19,23,6,"1.260",71,"1.974",58,"1.551",55,"649",84,"571"
15083,"Börde","Landkreis",24.3,3.57,439.9,23.8,26.9,48.5,94.6,40.6,130.7,59.3,"742,2",126.2,"2.750,70","210,7","73",68.1,74.2,13.7,5.5,2.3,13,80,22,27,13,"1.762",57,"2.420",46,"1.852",54,"695",88,"603"
15084,"Burgenlandkreis","Landkreis",30.2,5.99,581.7,25.4,24.5,49.4,109.9,55.9,149,59,"969,5",70,"1.066,10","92,9","129",61.2,68.4,15,9,5.5,15,43,21,34,11,"1.346",64,"1.677",56,"1.557",56,"593",82,"554"
15085,"Harz","Landkreis",27.7,7.19,590.2,26.9,27.2,45.4,137,56.9,175.8,59.2,"1.035,30",89.7,"3.588,30","109,9","103",52.1,60.3,15.1,4.3,2.1,15,82,46,50,11,"1.216",72,"1.691",63,"1.378",66,"334",97,"561"
15086,"Jerichower Land","Landkreis",21,8.3,490.9,21.2,32.2,46,126.6,35.6,168.5,60.1,"662,5",162.5,"5.796,80","371,3","57",58.1,68.1,16.8,7.2,3.1,18,85,22,28,16,"1.793",60,"2.995",41,"2.480",44,"540",89,"593"
