"krs","raumeinheit","aggregat","apotheken_2017","krankenhausbetten_2016","pflegebedürftige_2017","ambulante_pflege_2017","stationäre_pflege_2017","empfänger_von_pflegegeld_2017","personal_in_pflegeheimen_2017","personal_in_pflegediensten_2017","pflegeheimplätze_2017","betreuungsquote_kleinkinder_2017","siedlungsdichte_2017","freifläche_je_einwohner_2017","waldfläche_je_einwohner_2017","wasserfläche_je_einwohner_2017","einwohnerdichte_2017","einpendler_2017","auspendler_2017","pendler_mit_arbeitsweg_50_km_und_mehr_2017","pendler_mit_arbeitsweg_150_km_und_mehr_2017","pendler_mit_arbeitsweg_300_km_und_mehr_2017","erreichbarkeit_von_autobahnen_2018","erreichbarkeit_von_flughäfen_2018","erreichbarkeit_von_ic_ec_ice_bahnhöfen_2018","erreichbarkeit_von_oberzentren_2018","erreichbarkeit_von_mittelzentren_2018","nahversorgung_supermärkte_durchschnittsdistanz_2017","nahversorgung_supermärkte_anteil_der_bev__1km_radius_2017","nahversorgung_apotheken_durchschnittsdistanz_2017","nahversorgung_apotheken_anteil_der_bev__1km_radius_2017","nahversorgung_grundschulen_durchschnittsdistanz_2017","nahversorgung_grundschulen_anteil_der_bev__1km_radius_2017","nahversorgung_haltestellen_des_öv_durchschnittsdistanz_2017","nahversorgung_haltestellen_des_öv_anteil_der_bev__1km_radius_2017","pkw_dichte_2017"
8415,"Reutlingen","Landkreis",24.5,4.32,357.4,16.4,21.1,61.6,86.9,27.1,78.4,28.8,"1.963,80",33.6,"1.451,00","9,6","262",65.3,66.8,6.7,3.2,1.5,34,42,22,22,11,"926",75,"1.117",70,"763",82,"285",98,"603"
8416,"Tübingen","Landkreis",23.5,8.53,293.2,15.4,21.5,62.4,69.9,28.9,65.7,34.2,"2.394,00",19.2,"797,5","21","435",64.9,67.7,9,4,2.1,16,33,12,13,5,"954",72,"1.022",71,"600",88,"234",99,"530"
8417,"Zollernalbkreis","Landkreis",25,2.92,420.2,17.8,18.5,62.7,93,39.9,93.7,24.8,"1.504,90",42.5,"1.989,20","20,2","205",58.9,64.1,9.1,2.7,1.4,27,60,30,38,8,"1.150",61,"1.492",54,"898",71,"322",97,"648"
8421,"Ulm, Stadt","krsfr. Stadt",28.7,12.28,351,17.6,25.5,55.7,93.9,31.1,103.7,32.5,"3.204,80",6.6,"182,4","14","1.058",67.2,39.7,12.1,5.5,2.2,9,52,0,0,0,"576",86,"778",80,"477",94,"201",100,"511"
8425,"Alb-Donau-Kreis","Landkreis",23.6,2.16,342.2,19.1,20.6,59.3,79.2,23.3,78.3,19.8,"1.228,80",62.2,"2.071,50","55,8","143",66.3,78.1,9.2,3.6,1.5,17,57,22,23,8,"1.383",60,"1.950",51,"893",74,"402",94,"619"
8426,"Biberach","Landkreis",19.7,4.07,334.4,14.1,22.1,63.1,86.4,24.1,78.5,22.8,"1.187,40",63.1,"2.027,90","77,2","141",71.4,72.4,7.9,2.8,1.4,30,64,18,31,10,"1.462",56,"2.413",40,"1.073",68,"435",93,"618"
8435,"Bodenseekreis","Landkreis",28.4,3.48,330.2,21.4,22.4,55.5,82.1,33.4,81.1,28.1,"2.152,10",26.7,"868,7","32,8","323",64.8,64.1,7.6,5.1,2.2,22,20,18,19,10,"873",72,"1.108",63,"906",68,"304",96,"612"
8436,"Ravensburg","Landkreis",24.4,6.13,353.9,22.1,21,56.4,82.9,29.3,80.7,23.5,"1.599,10",51.8,"1.652,40","77,2","174",66.3,66.4,7.6,3.8,1.6,18,37,19,17,8,"1.181",66,"1.916",53,"1.013",68,"564",87,"599"
8437,"Sigmaringen","Landkreis",25.3,5.03,386,16.7,18.9,63.1,85.5,41.2,78.4,24.5,"1.074,70",83.7,"3.590,80","86,3","108",63.9,68.3,8.8,2.7,1.3,38,57,35,43,10,"1.838",48,"2.091",49,"1.299",59,"656",84,"625"
9161,"Ingolstadt, Stadt","krsfr. Stadt",22.9,9.61,237.9,21.9,28.2,49.1,73.1,25.7,86.5,24.5,"2.743,30",6.6,"153,2","38,7","1.014",61.3,32.4,12.6,4.3,2.8,3,41,0,0,0,"517",88,"702",81,"682",83,"193",100,"712"
9162,"München, Stadt","krsfr. Stadt",28.1,7.67,213.1,32.4,22.1,45,40.7,46.7,51.4,34.7,"6.287,10",0.8,"14,6","2,9","4.686",45,27.7,8.9,6.1,4.6,7,27,1,0,0,"330",98,"358",96,"502",93,"206",100,"496"
9163,"Rosenheim, Stadt","krsfr. Stadt",33.3,9.92,250.5,25.9,26.1,47.3,48.7,38.7,74.2,20.7,"4.088,10",3.6,"101,5","18,5","1.695",67.4,53.4,18.8,3.8,2.8,5,45,0,0,0,"427",94,"568",87,"641",89,"179",100,"535"
9171,"Altötting","Landkreis",30.8,5.32,338.6,19.4,33.5,46.2,115.8,46.9,128.5,18.1,"1.467,50",45.1,"1.521,10","99,1","194",76.2,75.4,10.6,2.9,2,9,59,45,9,8,"974",71,"1.373",62,"1.219",61,"1.592",58,"606"
9172,"Berchtesgadener Land","Landkreis",31.4,6.18,310.1,25,34.2,39.1,97.1,31.8,125.5,13.2,"1.772,70",74.6,"4.237,70","146,5","125",65.2,65.5,9,4.2,2.6,15,18,10,12,6,"928",72,"1.508",57,"1.351",50,"693",81,"590"
9173,"Bad Tölz-Wolfratshausen","Landkreis",26.1,5.02,288.9,20.2,25.6,53.8,66,24.5,80.1,18.7,"1.705,40",82.4,"4.866,20","329,5","114",65.5,74.7,12.8,4,3,16,61,31,35,6,"1.047",71,"1.643",59,"1.317",53,"688",83,"605"
9174,"Dachau","Landkreis",20.3,3.26,269.1,22.1,33.9,43.1,75.5,25.4,104.3,26.8,"1.951,00",33.3,"677,3","35,7","264",74.4,84.4,8,3.8,2.7,10,30,25,28,12,"1.033",69,"1.333",61,"1.362",58,"358",93,"567"
9175,"Ebersberg","Landkreis",24.1,2.36,212.9,17,34.4,47.2,68.8,21.7,79.1,30.4,"2.044,10",34.6,"1.459,50","35,8","256",79.2,85.9,8.2,4.6,3.4,12,38,25,25,7,"779",80,"1.111",71,"1.027",67,"436",92,"567"
9176,"Eichstätt","Landkreis",20.5,3.48,235.4,20.7,23.8,54.5,58.6,21.2,62.1,22.5,"1.103,30",83.6,"3.762,10","66,8","108",76.8,83.7,8.1,2.5,1.4,14,58,23,23,10,"1.728",50,"2.348",41,"1.583",50,"988",77,"602"
9177,"Erding","Landkreis",20.5,3.05,212,15,33.5,50.3,68.2,13.3,76.9,22.8,"1.283,20",56.3,"925,8","80,6","157",74.5,81.6,15,4.1,3.1,12,25,36,14,6,"1.300",55,"2.197",44,"1.357",56,"657",82,"611"
9178,"Freising","Landkreis",23.6,2.01,186.4,17.2,30.3,51.7,47.5,20.8,62.8,23.9,"1.627,60",39.2,"884,3","79,2","223",79.5,79.5,15.4,5,3.7,7,18,32,13,6,"1.123",69,"1.472",64,"1.187",65,"661",84,"581"
9179,"Fürstenfeldbruck","Landkreis",24.8,1.75,250.8,21.8,29.6,47.8,69.7,28.2,85.1,28.5,"2.687,30",16.6,"448,4","17,1","501",75.3,85.9,8.3,4.3,3,9,38,22,29,9,"758",83,"1.010",76,"853",77,"215",100,"543"
9180,"Garmisch-Partenkirchen","Landkreis",32.9,15.42,339.1,28,26.3,45.1,75.1,34.3,107.9,20,"1.647,40",109.2,"6.155,00","277,7","87",54.2,59.8,16.1,4.5,3,15,57,8,14,5,"876",77,"1.374",65,"967",71,"429",94,"568"
9181,"Landsberg am Lech","Landkreis",21,3.98,254.2,28.5,19.7,51.5,65.8,38,52.2,21.8,"1.330,00",60.4,"2.014,10","514,1","148",75,79.9,24.2,3.9,2.6,10,55,17,25,11,"1.351",61,"2.191",48,"1.472",56,"581",86,"642"
9182,"Miesbach","Landkreis",34.3,4.63,254.5,22.9,32,44.3,69.4,24.5,98.5,24.7,"1.540,00",81.3,"4.789,50","188,3","115",73.3,75.9,16.8,4,3,14,57,29,31,4,"1.249",64,"1.664",54,"1.406",49,"830",77,"634"
9183,"Mühldorf a.Inn","Landkreis",22.7,3.02,319.8,17.2,36.4,45.5,124.6,23.3,136.3,18.8,"1.322,20",63.1,"1.606,90","88,6","142",69.8,74.9,19.2,3.3,2.7,10,57,49,12,10,"1.250",62,"1.919",53,"1.571",48,"1.251",69,"609"
9184,"München","Landkreis",21.9,3.93,238.3,20.6,35.4,43.3,77.3,36.3,96.7,42,"2.536,70",15.7,"861,2","32,2","522",90.4,84.3,8,5.3,3.8,4,32,16,20,11,"615",88,"749",82,"782",79,"270",98,"637"
9185,"Neuburg-Schrobenhausen","Landkreis",22.9,4.68,248.5,16.5,31.2,51.3,66.6,28.2,88.9,19.8,"1.100,00",68.3,"1.824,30","139,4","130",64.6,72.4,10.7,2.9,1.8,24,56,26,27,7,"1.637",52,"2.548",36,"1.781",43,"2.452",46,"637"
9186,"Pfaffenhofen a.d.Ilm","Landkreis",22.2,2.61,241.9,17.1,30.9,51,60.5,15.9,84.6,23.4,"1.198,80",52.4,"1.523,30","105,6","166",73.4,80.4,21.8,3.5,2.4,9,34,23,21,11,"1.348",59,"1.924",47,"1.484",52,"1.940",47,"622"
9187,"Rosenheim","Landkreis",22.4,10.93,290.3,21.6,41.1,36.4,118.6,37.3,141,19.8,"1.611,90",49.6,"1.986,70","149,5","180",72.4,77.7,15.6,3.5,2.6,11,49,15,18,10,"1.098",63,"1.742",47,"1.305",51,"1.066",67,"624"
9188,"Starnberg","Landkreis",30.2,9.45,275,27.4,25.2,46.9,65.4,37.7,85.3,34.7,"1.874,20",31.2,"1.343,50","479,8","278",80.4,79.9,9.1,5.2,3.8,6,43,14,21,8,"824",74,"1.005",69,"1.087",60,"357",96,"620"
9189,"Traunstein","Landkreis",26.7,4.88,299.4,23.2,31.2,44.6,84.6,41.6,112.8,15.7,"1.338,50",80.1,"3.269,90","570,9","115",68.7,69.7,9.8,3.1,2.3,16,34,17,17,11,"1.136",63,"1.747",49,"1.514",45,"1.190",69,"625"
9190,"Weilheim-Schongau","Landkreis",23.1,3.21,312.2,28.9,23.3,47.7,75.6,38.2,81.6,19.4,"1.474,50",65.7,"2.378,70","159,3","139",68.5,72,17.3,3,2.1,21,74,17,17,7,"1.053",72,"1.889",50,"1.161",61,"795",80,"620"
9261,"Landshut, Stadt","krsfr. Stadt",30.9,18.06,324.6,20.7,43.3,35,137,33.3,173.1,25.5,"3.222,90",6.4,"181,6","23,5","1.081",65.7,54.2,19.6,3.9,2.7,5,28,39,0,0,"621",80,"738",83,"772",82,"172",100,"497"
9262,"Passau, Stadt","krsfr. Stadt",38.6,14.27,607.9,44.4,26.3,28.6,159.7,97.7,188.7,32.5,"2.321,00",9.4,"444,8","97,5","744",68.8,32.6,12.8,8.2,3.5,6,65,0,0,0,"625",85,"839",71,"943",64,"177",100,"520"
9263,"Straubing, Stadt","krsfr. Stadt",39.9,9.55,457.1,23.9,31.3,43.5,137.2,37.8,181.6,16.2,"2.371,00",10.4,"26,7","74","704",61.1,40.3,15,3.8,2.4,9,71,26,0,0,"545",87,"674",78,"764",73,"855",66,"554"
9271,"Deggendorf","Landkreis",26.1,11.08,425.9,19.8,24.8,54.1,107,35.6,132.9,17.4,"1.136,30",64.1,"2.119,00","179,6","138",71.3,71,14.8,5.1,2,8,73,14,11,8,"1.056",63,"2.441",38,"1.548",46,"881",75,"622"
9272,"Freyung-Grafenau","Landkreis",26.8,5.18,547.2,23.4,16.3,59.6,95.9,47.9,102,16.6,"855,4",114.6,"7.243,60","85,6","80",68.6,75.1,10.4,4.9,1.3,37,98,37,37,9,"1.504",44,"3.075",25,"2.038",32,"4.338",20,"636"
9273,"Kelheim","Landkreis",21.5,3.18,278.8,19.5,27.5,52.4,66.8,85.1,92.4,18.1,"1.081,70",79.1,"3.495,70","107,3","114",64.6,73.7,13.3,3.1,2.1,9,53,25,26,7,"1.537",57,"2.283",44,"1.625",48,"1.279",69,"622"
