,IdBundesland,Bundesland,Landkreis,Altersgruppe,Geschlecht,AnzahlFall,AnzahlTodesfall,ObjectId,Meldedatum,IdLandkreis,Datenstand
42,1,Schleswig-Holstein,SK Lübeck,A15-A34,M,1,0,163442,2020-03-20 00:00:00+00:00,1003,2020-03-22
43,1,Schleswig-Holstein,SK Lübeck,A15-A34,W,1,0,163443,2020-03-08 00:00:00+00:00,1003,2020-03-22
44,1,Schleswig-Holstein,SK Lübeck,A15-A34,W,1,0,163444,2020-03-17 00:00:00+00:00,1003,2020-03-22
45,1,Schleswig-Holstein,SK Lübeck,A15-A34,W,1,0,163445,2020-03-18 00:00:00+00:00,1003,2020-03-22
46,1,Schleswig-Holstein,SK Lübeck,A15-A34,W,1,0,163446,2020-03-19 00:00:00+00:00,1003,2020-03-22
47,1,Schleswig-Holstein,SK Lübeck,A35-A59,M,1,0,163447,2020-02-29 00:00:00+00:00,1003,2020-03-22
48,1,Schleswig-Holstein,SK Lübeck,A35-A59,M,1,0,163448,2020-03-11 00:00:00+00:00,1003,2020-03-22
49,1,Schleswig-Holstein,SK Lübeck,A35-A59,M,1,0,163449,2020-03-15 00:00:00+00:00,1003,2020-03-22
50,1,Schleswig-Holstein,SK Lübeck,A35-A59,M,1,0,163450,2020-03-17 00:00:00+00:00,1003,2020-03-22
51,1,Schleswig-Holstein,SK Lübeck,A35-A59,M,1,0,163451,2020-03-18 00:00:00+00:00,1003,2020-03-22
52,1,Schleswig-Holstein,SK Lübeck,A35-A59,M,1,0,163452,2020-03-19 00:00:00+00:00,1003,2020-03-22
53,1,Schleswig-Holstein,SK Lübeck,A35-A59,W,2,0,163453,2020-03-11 00:00:00+00:00,1003,2020-03-22
54,1,Schleswig-Holstein,SK Lübeck,A35-A59,W,1,0,163454,2020-03-12 00:00:00+00:00,1003,2020-03-22
55,1,Schleswig-Holstein,SK Lübeck,A35-A59,W,1,0,163455,2020-03-13 00:00:00+00:00,1003,2020-03-22
56,1,Schleswig-Holstein,SK Lübeck,A35-A59,W,1,0,163456,2020-03-18 00:00:00+00:00,1003,2020-03-22
57,1,Schleswig-Holstein,SK Lübeck,A60-A79,M,1,0,163457,2020-03-11 00:00:00+00:00,1003,2020-03-22
58,1,Schleswig-Holstein,SK Lübeck,A60-A79,M,1,1,163458,2020-03-18 00:00:00+00:00,1003,2020-03-22
59,1,Schleswig-Holstein,SK Neumünster,A15-A34,M,1,0,163459,2020-03-18 00:00:00+00:00,1004,2020-03-22
60,1,Schleswig-Holstein,SK Neumünster,A15-A34,W,1,0,163460,2020-03-20 00:00:00+00:00,1004,2020-03-22
61,1,Schleswig-Holstein,SK Neumünster,A35-A59,M,2,0,163461,2020-03-18 00:00:00+00:00,1004,2020-03-22
62,1,Schleswig-Holstein,SK Neumünster,A35-A59,W,1,0,163462,2020-03-16 00:00:00+00:00,1004,2020-03-22
63,1,Schleswig-Holstein,SK Neumünster,A35-A59,W,1,0,163463,2020-03-18 00:00:00+00:00,1004,2020-03-22
64,1,Schleswig-Holstein,SK Neumünster,A60-A79,W,1,0,163464,2020-03-20 00:00:00+00:00,1004,2020-03-22
65,1,Schleswig-Holstein,LK Dithmarschen,A15-A34,M,1,0,163465,2020-03-18 00:00:00+00:00,1051,2020-03-22
